NAME,FIELD_NUMBER,LENGTH,WIDTH,LATITUDE,LONGITUDE,LOCATION,Geometry Point
St. Richard,2,180,90,53.44725041258844,-113.4278870432343,"(53.44725041258844, -113.4278870432343)",POINT (-113.4278870432343 53.44725041258844)
Kirkness,3,155,95,53.61273916120768,-113.38879949521728,"(53.61273916120768, -113.38879949521728)",POINT (-113.38879949521728 53.61273916120768)
St. Martin,1,180,130,53.48959699561292,-113.5231217711674,"(53.48959699561292, -113.5231217711674)",POINT (-113.5231217711674 53.48959699561292)
Confederation,5,180,100,53.48228027550539,-113.52045162818384,"(53.48228027550539, -113.52045162818384)",POINT (-113.52045162818384 53.48228027550539)
Kernohan,6,180,75,53.59160610325627,-113.38143350934587,"(53.59160610325627, -113.38143350934587)",POINT (-113.38143350934587 53.59160610325627)
Keheewin,7,180,90,53.449858354802274,-113.50372019717811,"(53.449858354802274, -113.50372019717811)",POINT (-113.50372019717811 53.449858354802274)
St. Mary,2,300,180,53.47501250569648,-113.5860169489254,"(53.47501250569648, -113.5860169489254)",POINT (-113.5860169489254 53.47501250569648)
Klarvatten,4,240,150,53.634214300639535,-113.47425523725613,"(53.634214300639535, -113.47425523725613)",POINT (-113.47425523725613 53.634214300639535)
Youngstown,2,195,100,53.54585649910182,-113.60431420337436,"(53.54585649910182, -113.60431420337436)",POINT (-113.60431420337436 53.54585649910182)
Victoria HS,2,220,140,53.55449671111431,-113.49892420185601,"(53.55449671111431, -113.49892420185601)",POINT (-113.49892420185601 53.55449671111431)
North Edmonton,2,150,90,53.586489172611664,-113.44893804420077,"(53.586489172611664, -113.44893804420077)",POINT (-113.44893804420077 53.586489172611664)
Winterburn,1,270,180,53.53532908395584,-113.68634083007053,"(53.53532908395584, -113.68634083007053)",POINT (-113.68634083007053 53.53532908395584)
Rideau Park,1,180,90,53.477732305049784,-113.5052415764877,"(53.477732305049784, -113.5052415764877)",POINT (-113.5052415764877 53.477732305049784)
M Butterworth,8,300,135,53.62461737388815,-113.50556245052209,"(53.62461737388815, -113.50556245052209)",POINT (-113.50556245052209 53.62461737388815)
Carlisle Park,5,240,180,53.60427104049318,-113.52633838245279,"(53.60427104049318, -113.52633838245279)",POINT (-113.52633838245279 53.60427104049318)
Meadowlark,1,240,130,53.5254415165332,-113.59534803610319,"(53.5254415165332, -113.59534803610319)",POINT (-113.59534803610319 53.5254415165332)
Laurier Heights,4,150,90,53.516571204839245,-113.56740790791703,"(53.516571204839245, -113.56740790791703)",POINT (-113.56740790791703 53.516571204839245)
Tawa Park,2,330,210,53.46316134477826,-113.42511097385298,"(53.46316134477826, -113.42511097385298)",POINT (-113.42511097385298 53.46316134477826)
Westglen,4,180,100,53.55459132149013,-113.54347311832815,"(53.55459132149013, -113.54347311832815)",POINT (-113.54347311832815 53.55459132149013)
Kaskitayo,1,300,210,53.45024572465695,-113.51009963192523,"(53.45024572465695, -113.51009963192523)",POINT (-113.51009963192523 53.45024572465695)
JA Fife,1,240,170,53.61347848094813,-113.46225315897752,"(53.61347848094813, -113.46225315897752)",POINT (-113.46225315897752 53.61347848094813)
Westmount,1,235,130,53.561391466271594,-113.54706509158869,"(53.561391466271594, -113.54706509158869)",POINT (-113.54706509158869 53.561391466271594)
Princeton,1,300,180,53.59109971775144,-113.45853088467587,"(53.59109971775144, -113.45853088467587)",POINT (-113.45853088467587 53.59109971775144)
